tip_name,genus,ncbi_genus_id,ncbi_family_id,ncbi_family_name,superfamily,subsection,infraorder,suborder
Cuterebra_170896,Cuterebra,170896,7387,Oestridae,Oestroidea,NA,Muscomorpha,Brachycera
Dermatobia_115426,Dermatobia,115426,7387,Oestridae,Oestroidea,NA,Muscomorpha,Brachycera
Oestromyia_170913,Oestromyia,170913,7387,Oestridae,Oestroidea,NA,Muscomorpha,Brachycera
Przhevalskiana_123746,Przhevalskiana,123746,7387,Oestridae,Oestroidea,NA,Muscomorpha,Brachycera
Rhinoestrus_204922,Rhinoestrus,204922,7387,Oestridae,Oestroidea,NA,Muscomorpha,Brachycera
Cephenemyia_170894,Cephenemyia,170894,7387,Oestridae,Oestroidea,NA,Muscomorpha,Brachycera
Hypoderma_7388,Hypoderma,7388,7387,Oestridae,Oestroidea,NA,Muscomorpha,Brachycera
Pollenia_229639,Pollenia,229639,54279,Polleniidae,Oestroidea,NA,Muscomorpha,Brachycera
Rhyncomya_670621,Rhyncomya,670621,1902070,Rhiniidae,Oestroidea,NA,Muscomorpha,Brachycera
Idiella_1902146,Idiella,1902146,1902070,Rhiniidae,Oestroidea,NA,Muscomorpha,Brachycera
Stevenia_670627,Stevenia,670627,43758,Rhinophoridae,Oestroidea,NA,Muscomorpha,Brachycera
Paykullia_559695,Paykullia,559695,43758,Rhinophoridae,Oestroidea,NA,Muscomorpha,Brachycera
Phyto_1262320,Phyto,1262320,43758,Rhinophoridae,Oestroidea,NA,Muscomorpha,Brachycera
Rhinophora_670625,Rhinophora,670625,43758,Rhinophoridae,Oestroidea,NA,Muscomorpha,Brachycera
Tricogena_1606792,Tricogena,1606792,43758,Rhinophoridae,Oestroidea,NA,Muscomorpha,Brachycera
Melanophora_1606787,Melanophora,1606787,43758,Rhinophoridae,Oestroidea,NA,Muscomorpha,Brachycera
Sarcophaga_7384,Sarcophaga,7384,7381,Sarcophagidae,Oestroidea,NA,Muscomorpha,Brachycera
Sphecapatoclea_2021595,Sphecapatoclea,2021595,7381,Sarcophagidae,Oestroidea,NA,Muscomorpha,Brachycera
Blaesoxipha_128953,Blaesoxipha,128953,7381,Sarcophagidae,Oestroidea,NA,Muscomorpha,Brachycera
Craticulina_2021509,Craticulina,2021509,7381,Sarcophagidae,Oestroidea,NA,Muscomorpha,Brachycera
Wohlfahrtia_128961,Wohlfahrtia,128961,7381,Sarcophagidae,Oestroidea,NA,Muscomorpha,Brachycera
Miltogramma_670602,Miltogramma,670602,7381,Sarcophagidae,Oestroidea,NA,Muscomorpha,Brachycera
Sphecapatodes_2021536,Sphecapatodes,2021536,7381,Sarcophagidae,Oestroidea,NA,Muscomorpha,Brachycera
Phytomyptera_179785,Phytomyptera,179785,27474,Tachinidae,Oestroidea,NA,Muscomorpha,Brachycera
Neaera_695903,Neaera,695903,27474,Tachinidae,Oestroidea,NA,Muscomorpha,Brachycera
Parasetigena_380521,Parasetigena,380521,27474,Tachinidae,Oestroidea,NA,Muscomorpha,Brachycera
Leschenaultia_179486,Leschenaultia,179486,27474,Tachinidae,Oestroidea,NA,Muscomorpha,Brachycera
Estheria_1918238,Estheria,1918238,27474,Tachinidae,Oestroidea,NA,Muscomorpha,Brachycera
Exorista_113238,Exorista,113238,27474,Tachinidae,Oestroidea,NA,Muscomorpha,Brachycera
Billaea_701468,Billaea,701468,27474,Tachinidae,Oestroidea,NA,Muscomorpha,Brachycera
Blepharomyia_179434,Blepharomyia,179434,27474,Tachinidae,Oestroidea,NA,Muscomorpha,Brachycera
Prosena_1918293,Prosena,1918293,27474,Tachinidae,Oestroidea,NA,Muscomorpha,Brachycera
Elomyia_1562792,Elomya,1562792,27474,Tachinidae,Oestroidea,NA,Muscomorpha,Brachycera
Dinera_569035,Dinera,569035,27474,Tachinidae,Oestroidea,NA,Muscomorpha,Brachycera
