,name,updated_fullname,taxonomy_source,rank_matched,matched,score,ott_id,ncbi_id,name_source,matched_id_in_source,updated_genus,updated_genus_ott_id,ott_accepted_name,ott_version,higher_source,domain,kingdom,phylum,subphylum,class,subclass,infraclass,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,seqname,cohort,section
45,Homoneura,Homoneura,OTT,genus,Homoneura,100,4417150,1692452,OTT,4417150,Homoneura,4417150,Homoneura,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Lauxanioidea,Lauxaniidae,,,,Homoneura_1692452,Holometabola,Schizophora
46,Apocephalus,Apocephalus,OTT,genus,Apocephalus,100,293294,117252,OTT,293294,Apocephalus,293294,Apocephalus,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Platypezoidea,Phoridae,Metopininae,Megaseliini,,Apocephalus_117252,Holometabola,Aschiza
47,Cetema,Cetema,OTT,genus,Cetema,100,4414234,540891,OTT,4414234,Cetema,4414234,Cetema,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Carnoidea,Chloropidae,Chloropinae,,,Cetema_540891,Holometabola,Schizophora
48,Scaptodrosophila,Scaptodrosophila,OTT,genus,Scaptodrosophila,100,960043,7354,OTT,960043,Scaptodrosophila,960043,Scaptodrosophila,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Ephydroidea,Drosophilidae,Drosophilinae,Colocasiomyini,,Scaptodrosophila_7354,Holometabola,Schizophora
49,Lucilia,Lucilia,OTT,genus,Lucilia,100,1011017,7374,OTT,1011017,Lucilia,1011017,Lucilia,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Oestroidea,Calliphoridae,Luciliinae,,,Lucilia_7374,Holometabola,Schizophora
50,Liopiophila,Liopiophila,OTT,genus,Liopiophila,100,4409792,1603421,OTT,4409792,Liopiophila,4409792,Liopiophila,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Tephritoidea,Piophilidae,Piophilinae,,,Liopiophila_1603421,Holometabola,Schizophora
51,Odinia,Odinia,OTT,genus,Odinia,100,195843,414302,OTT,195843,Odinia,195843,Odinia,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Opomyzoidea,Odiniidae,,,,Odinia_414302,Holometabola,Schizophora
52,Geomyza,Geomyza,OTT,genus,Geomyza,100,434538,305619,OTT,434538,Geomyza,434538,Geomyza,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Opomyzoidea,Opomyzidae,,,,Geomyza_305619,Holometabola,Schizophora
53,Haematobosca,Haematobosca,OTT,genus,Haematobosca,100,788053,559680,OTT,788053,Haematobosca,788053,Haematobosca,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Muscoidea,Muscidae,Muscinae,Stomoxyini,,Haematobosca_559680,Holometabola,Schizophora
54,Chonocephalus,Chonocephalus,OTT,genus,Chonocephalus,100,335968,92528,OTT,335968,Chonocephalus,335968,Chonocephalus,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Platypezoidea,Phoridae,Chonocephalinae,,,Chonocephalus_92528,Holometabola,Aschiza
